timestamp,latitude,longitude,road_type,max_speed_kmh,current_speed_kmh,congestion_index,congestion_level,temperature_c,humidity_percent,wind_speed_kmh,precipitation_mm,visibility_km,weather_condition,is_weekend,is_rush_hour
2026-01-01 00:00:00,40.70839812408669,-73.9518765354204,City_Street,40,32.1,0.198,Low,15.4,58,13.0,0.0,11.2,Cloudy,0,0
2026-01-01 00:15:00,40.70954419657923,-73.95166201963048,City_Street,40,37.2,0.07,Low,21.2,31,11.6,0.0,11.0,Clear,0,0
2026-01-01 00:30:00,40.711791581589985,-73.95732093659863,Arterial,60,53.2,0.113,Low,19.9,65,24.5,0.0,14.0,Clear,0,0
2026-01-01 00:45:00,40.70949774420928,-73.94844297974417,Arterial,60,60.0,0.0,Low,14.9,57,3.1,0.0,11.5,Cloudy,0,0
2026-01-01 01:00:00,40.719328369323584,-73.96167562226996,Residential,30,26.2,0.127,Low,17.7,60,16.8,0.0,13.9,Clear,0,0
2026-01-01 01:15:00,40.7212066911035,-73.95469154073074,Residential,30,29.7,0.01,Low,19.4,55,11.0,0.0,10.7,Clear,0,0
2026-01-01 01:30:00,40.716569532156214,-73.95273715615846,Arterial,60,49.1,0.182,Low,10.6,39,2.5,0.0,10.1,Clear,0,0
2026-01-01 01:45:00,40.72345180100775,-73.95008246760938,Residential,30,25.6,0.147,Low,12.5,76,12.3,0.0,8.4,Clear,0,0
2026-01-01 02:00:00,40.704202492402906,-73.95105629113907,City_Street,40,38.3,0.043,Low,15.3,71,3.3,0.0,9.8,Clear,0,0
2026-01-01 02:15:00,40.71799030400581,-73.95859442215313,Arterial,60,49.6,0.173,Low,18.9,65,26.9,0.0,10.9,Cloudy,0,0
2026-01-01 02:30:00,40.730775034827076,-73.9496599271203,Residential,30,26.3,0.123,Low,16.9,55,9.2,0.0,11.2,Cloudy,0,0
2026-01-01 02:45:00,40.72926381211026,-73.95489776875053,Arterial,60,59.8,0.003,Low,18.7,54,29.0,0.0,11.0,Clear,0,0
2026-01-01 03:00:00,40.71980170827942,-73.9663551179897,City_Street,40,36.6,0.085,Low,15.5,47,9.2,0.0,9.2,Cloudy,0,0
2026-01-01 03:15:00,40.72134211025677,-73.95701747264039,Residential,30,27.9,0.07,Low,10.4,59,3.2,0.0,10.0,Clear,0,0
2026-01-01 03:30:00,40.716243027546405,-73.95716252087082,Arterial,60,55.5,0.075,Low,21.7,89,20.2,0.0,11.1,Cloudy,0,0
2026-01-01 03:45:00,40.71406921777603,-73.95037631925608,City_Street,40,39.6,0.01,Low,27.0,80,5.0,0.0,11.8,Clear,0,0
2026-01-01 04:00:00,40.73623662873814,-73.95599086938367,Residential,30,23.7,0.21,Low,23.6,45,13.5,0.0,13.7,Clear,0,0
2026-01-01 04:15:00,40.71390372357948,-73.94432128641438,Highway,90,75.1,0.166,Low,16.1,55,31.0,0.0,14.5,Clear,0,0
2026-01-01 04:30:00,40.70806724204309,-73.95585598742542,Residential,30,14.9,0.503,Moderate,20.0,70,25.1,3.9,1.2,Snow,0,0
2026-01-01 04:45:00,40.724246887551594,-73.95412820256816,Residential,30,27.4,0.087,Low,21.5,49,7.3,0.0,8.0,Clear,0,0
2026-01-01 05:00:00,40.72393873888762,-73.95712239062676,Arterial,60,57.6,0.04,Low,13.3,59,26.6,0.0,10.6,Clear,0,0
2026-01-01 05:15:00,40.716281866272475,-73.95593155944437,Residential,30,27.0,0.1,Low,24.4,56,28.2,0.0,12.4,Clear,0,0
2026-01-01 05:30:00,40.73051244581104,-73.95405040792176,Residential,30,26.8,0.107,Low,27.4,65,34.8,0.0,8.3,Cloudy,0,0
2026-01-01 05:45:00,,,Arterial,60,35.5,0.408,Moderate,22.4,58,30.1,0.0,1.5,Fog,0,0
2026-01-01 06:00:00,40.71981014431428,-73.96394127003308,Highway,90,73.9,0.179,Low,25.5,54,4.3,0.0,14.5,Clear,0,0
2026-01-01 06:15:00,40.73362958603363,-73.95714349203863,City_Street,40,39.3,0.018,Low,15.2,80,28.7,0.0,10.1,Cloudy,0,0
2026-01-01 06:30:00,,,Highway,90,82.9,0.079,Low,17.2,58,2.9,0.0,14.2,Cloudy,0,0
2026-01-01 06:45:00,40.72225366345181,-73.95715646206662,Residential,30,29.6,0.013,Low,23.4,35,3.2,0.0,8.2,Cloudy,0,0
2026-01-01 07:00:00,40.71068548013596,-73.95453902114978,Arterial,60,26.3,0.562,Heavy,19.8,67,8.4,0.0,13.9,Clear,0,1
2026-01-01 07:15:00,40.73800509518286,-73.95145767840353,City_Street,40,15.7,0.608,Heavy,25.2,50,16.5,0.0,9.9,Cloudy,0,1
2026-01-01 07:30:00,40.74182633894928,-73.96365250088544,Highway,90,32.0,0.644,Heavy,12.3,54,8.0,0.0,0.3,Fog,0,1
2026-01-01 07:45:00,40.74503018139828,-73.9501235994213,Highway,90,35.0,0.611,Heavy,26.3,49,5.8,0.0,8.1,Clear,0,1
2026-01-01 08:00:00,40.73412106708569,-73.9537390560262,Highway,90,37.6,0.582,Heavy,17.9,62,31.3,0.0,14.6,Cloudy,0,1
2026-01-01 08:15:00,40.7294702226382,-73.93991390739598,Arterial,60,27.6,0.54,Moderate,19.0,60,33.0,0.0,12.1,Cloudy,0,1
2026-01-01 08:30:00,40.72119913575516,-73.95722800318757,Arterial,60,20.2,0.663,Heavy,20.7,77,11.0,5.5,4.8,Rain,0,1
2026-01-01 08:45:00,40.726053428244356,-73.95737057826734,Arterial,60,23.7,0.605,Heavy,11.9,66,31.0,5.8,6.5,Rain,0,1
2026-01-01 09:00:00,40.7308196633346,-73.95524835968105,Highway,90,41.5,0.539,Moderate,28.1,67,10.3,0.0,8.9,Cloudy,0,1
2026-01-01 09:15:00,40.743303649804965,-73.96289977572349,City_Street,40,20.1,0.497,Moderate,20.1,73,12.6,0.0,13.8,Clear,0,1
2026-01-01 09:30:00,40.72805569874537,-73.95169457986466,Highway,90,41.7,0.537,Moderate,13.3,20,5.0,0.0,8.6,Cloudy,0,1
2026-01-01 09:45:00,40.74107430774416,-73.95342124545543,Residential,30,12.4,0.587,Heavy,14.9,49,16.6,1.4,6.2,Rain,0,1
2026-01-01 10:00:00,40.73938279146965,-73.95597843643405,City_Street,40,29.6,0.26,Moderate,7.8,61,6.8,3.7,7.6,Rain,0,0
2026-01-01 10:15:00,40.7419653011065,-73.96396301270377,Arterial,60,26.4,0.56,Heavy,11.7,86,20.4,2.8,2.4,Snow,0,0
2026-01-01 10:30:00,40.7273933522902,-73.9753517820929,Arterial,60,58.0,0.033,Low,28.0,67,29.2,0.0,13.4,Clear,0,0
2026-01-01 10:45:00,40.73758503199186,-73.9598407284672,City_Street,40,40.0,0.0,Low,18.3,66,2.4,0.0,14.7,Clear,0,0
2026-01-01 11:00:00,40.73195776815023,-73.96159314577844,Highway,90,51.9,0.423,Moderate,24.2,44,7.5,0.0,0.3,Fog,0,0
2026-01-01 11:15:00,40.75177373636566,-73.96711642538547,City_Street,40,24.9,0.378,Moderate,30.9,47,8.2,0.0,0.6,Fog,0,0
2026-01-01 11:30:00,40.728942156624186,-73.96819800570667,Arterial,60,55.7,0.072,Low,17.5,59,15.6,0.0,10.0,Clear,0,0
2026-01-01 11:45:00,40.74138001840119,-73.94960831658679,Residential,30,16.9,0.437,Moderate,19.6,55,34.6,0.0,1.3,Fog,0,0
2026-01-01 12:00:00,40.73096267201893,-73.95016078611641,Highway,90,90.0,0.0,Low,21.1,52,26.7,0.0,11.7,Cloudy,0,0
2026-01-01 12:15:00,40.73273077063673,-73.95690055761071,City_Street,40,37.3,0.068,Low,20.6,67,24.2,0.0,9.6,Clear,0,0
2026-01-01 12:30:00,40.70894592322112,-73.96426697640108,Residential,30,28.1,0.063,Low,17.2,98,27.9,0.0,10.9,Clear,0,0
2026-01-01 12:45:00,,,City_Street,40,34.4,0.14,Low,11.3,81,31.8,0.0,11.1,Clear,0,0
2026-01-01 13:00:00,40.744572571020534,-73.96343764981533,Arterial,60,58.4,0.027,Low,24.8,69,29.8,0.0,11.2,Cloudy,0,0
2026-01-01 13:15:00,40.74114919065176,-73.96312120445901,Residential,30,24.0,0.2,Low,13.5,70,6.3,0.0,8.5,Clear,0,0
2026-01-01 13:30:00,40.751401141708406,-73.96961821031675,City_Street,40,37.1,0.073,Low,25.0,56,34.1,0.0,11.6,Cloudy,0,0
2026-01-01 13:45:00,40.73241036886023,-73.9678459778429,City_Street,40,38.1,0.047,Low,12.8,57,18.6,0.0,10.5,Clear,0,0
2026-01-01 14:00:00,40.73902630162175,-73.97083816971391,Highway,90,70.9,0.212,Low,18.1,44,30.7,0.0,8.0,Cloudy,0,0
2026-01-01 14:15:00,40.73553759325581,-73.96851149716704,City_Street,40,31.0,0.225,Low,12.4,80,26.7,0.0,11.2,Cloudy,0,0
2026-01-01 14:30:00,40.74340294860285,-73.97045296265475,Residential,30,22.6,0.247,Low,9.2,38,8.0,1.7,6.9,Rain,0,0
2026-01-01 14:45:00,40.7354454680717,-73.97310535007391,Highway,90,49.1,0.454,Moderate,23.4,100,4.9,21.4,2.5,Heavy Rain,0,0
2026-01-01 15:00:00,40.757707941514084,-73.95360599128503,Arterial,60,54.0,0.1,Low,23.6,55,10.1,0.0,12.3,Clear,0,0
2026-01-01 15:15:00,40.730254832414474,-73.96051384521421,Arterial,60,48.7,0.188,Low,16.7,52,11.4,0.0,9.3,Clear,0,0
2026-01-01 15:30:00,,,City_Street,40,17.9,0.552,Heavy,24.0,79,19.7,10.2,2.3,Snow,0,0
2026-01-01 15:45:00,40.736956247825546,-73.96103383523565,Highway,90,75.9,0.157,Low,11.9,60,22.2,0.0,8.8,Clear,0,0
2026-01-01 16:00:00,40.748773789656994,-73.96580882678731,Highway,90,73.8,0.18,Low,16.3,27,20.1,0.0,11.8,Cloudy,0,0
2026-01-01 16:15:00,40.73824357085563,-73.96011380131546,Residential,30,24.3,0.19,Low,11.4,100,32.7,3.8,5.4,Rain,0,0
2026-01-01 16:30:00,40.74892753569847,-73.96765658110796,Residential,30,29.3,0.023,Low,23.3,57,3.6,0.0,13.1,Clear,0,0
2026-01-01 16:45:00,40.73909317093003,-73.96210228855827,City_Street,40,40.0,0.0,Low,22.7,75,13.8,0.0,11.7,Clear,0,0
2026-01-01 17:00:00,40.74023336014159,-73.95186521284717,Highway,90,23.5,0.739,Heavy,18.5,100,13.7,15.5,2.7,Heavy Rain,0,1
2026-01-01 17:15:00,40.75176614566962,-73.96667273568303,Arterial,60,29.4,0.51,Moderate,20.8,68,6.6,0.0,10.3,Clear,0,1
2026-01-01 17:30:00,40.75865748323659,-73.96801653264318,Highway,90,21.6,0.76,Heavy,19.1,94,8.7,9.8,0.9,Snow,0,1
2026-01-01 17:45:00,40.74261147468089,-73.96144879672379,Highway,90,43.2,0.52,Moderate,26.4,53,9.6,0.0,9.0,Clear,0,1
